PGM_PO_NUMBER,PRD_LVL_NUMBER,NEW_FOB
2662749,73444992,1.62
2662749,73445005,1.62
2662749,73445012,1.62
2662749,73445029,1.62
2662749,73445036,1.62
2662753,73444961,1.62
2662753,73444978,1.62
2662753,73444985,1.62
2662753,73444992,1.62
2662753,73445005,1.62
2662753,73445012,1.62
2662753,73445029,1.62
2662753,73445036,1.62
2662757,73444961,1.62
2662757,73444978,1.62
2662757,73444985,1.62
2662757,73444992,1.62
2662757,73445005,1.62
2662757,73445012,1.62
2662757,73445029,1.62
2662757,73445036,1.62
2662760,73320326,2.59
2662760,73320333,2.59
2662760,73320340,2.59
2662760,73320357,2.59
2662760,73320364,2.59
2662760,73320371,2.59
2662760,73320388,2.59
2662760,73320395,2.59
2662762,73320333,2.59
2662762,73320340,2.59
2662762,73320357,2.59
2662762,73320364,2.59
2662762,73320371,2.59
2662762,73320388,2.59
2662762,73320395,2.59
2662761,73320241,2.39
2662761,73320258,2.39
2662761,73320265,2.39
2662761,73320272,2.39
2662761,73320289,2.39
2662761,73320296,2.39
2662761,73320302,2.39
2662761,73320319,2.39
2662763,73320258,2.39
2662763,73320265,2.39
2662763,73320272,2.39
2662763,73320289,2.39
2662763,73320296,2.39
2662763,73320302,2.39
2662763,73320319,2.39
2662752,73451341,1.47
2662752,73451358,1.47
2662752,73451365,1.47
2662752,73451372,1.47
2662752,73451389,1.47
2662752,73451396,1.47
2662752,73451402,1.47
2662756,73451341,1.47
2662756,73451358,1.47
2662756,73451365,1.47
2662756,73451372,1.47
2662756,73451389,1.47
2662756,73451396,1.47
2662756,73451402,1.47
2662758,73451334,1.47
2662758,73451341,1.47
2662758,73451358,1.47
2662758,73451365,1.47
2662758,73451372,1.47
2662758,73451389,1.47
2662758,73451396,1.47
2662758,73451402,1.47
2662759,73451341,1.47
2662759,73451358,1.47
2662759,73451365,1.47
2662759,73451372,1.47
2662759,73451389,1.47
2662759,73451396,1.47
2662759,73451402,1.47
2657961,72756607,1.44
2657961,72756607,1.44
2657961,72756607,1.44
2657961,72756614,1.44
2657961,72756614,1.44
2657961,72756614,1.44
2657961,72756621,1.44
2657961,72756621,1.44
2657961,72756621,1.44
2657961,72756638,1.44
2657961,72756638,1.44
2657961,72756638,1.44
2657961,72756645,1.44
2657961,72756645,1.44
2657961,72756645,1.44
2657961,72756652,1.44
2657961,72756652,1.44
2657961,72756652,1.44
2657961,72756669,1.44
2657961,72756669,1.44
2657961,72756669,1.44
2657961,72756676,1.44
2657961,72756676,1.44
2657961,72756676,1.44
2662734,72756607,1.44
2662734,72756614,1.44
2662734,72756621,1.44
2662734,72756638,1.44
2662734,72756645,1.44
2662734,72756652,1.44
2662734,72756669,1.44
2662734,72756676,1.44
2662738,72756607,1.44
2662738,72756614,1.44
2662738,72756621,1.44
2662738,72756638,1.44
2662738,72756645,1.44
2662738,72756652,1.44
2662738,72756669,1.44
2662738,72756676,1.44
2668204,72756607,1.44
2668204,72756614,1.44
2668204,72756621,1.44
2668204,72756638,1.44
2668204,72756645,1.44
2668204,72756652,1.44
2668204,72756669,1.44
2668204,72756676,1.44
2671812,72756607,1.44
2671812,72756614,1.44
2671812,72756621,1.44
2671812,72756638,1.44
2671812,72756645,1.44
2671812,72756652,1.44
2671812,72756669,1.44
2671812,72756676,1.44
2671815,72756607,1.44
2671815,72756614,1.44
2671815,72756621,1.44
2671815,72756638,1.44
2671815,72756645,1.44
2671815,72756652,1.44
2671815,72756669,1.44
2671815,72756676,1.44
2657962,72756522,1.44
2657962,72756522,1.44
2657962,72756522,1.44
2657962,72756539,1.44
2657962,72756539,1.44
2657962,72756539,1.44
2657962,72756546,1.44
2657962,72756546,1.44
2657962,72756546,1.44
2657962,72756553,1.44
2657962,72756553,1.44
2657962,72756553,1.44
2657962,72756560,1.44
2657962,72756560,1.44
2657962,72756560,1.44
2657962,72756577,1.44
2657962,72756577,1.44
2657962,72756577,1.44
2657962,72756584,1.44
2657962,72756584,1.44
2657962,72756584,1.44
2657962,72756591,1.44
2657962,72756591,1.44
2657962,72756591,1.44
2662737,72756522,1.44
2662737,72756539,1.44
2662737,72756546,1.44
2662737,72756553,1.44
2662737,72756560,1.44
2662737,72756577,1.44
2662737,72756584,1.44
2662737,72756591,1.44
2662740,72756522,1.44
2662740,72756539,1.44
2662740,72756546,1.44
2662740,72756553,1.44
2662740,72756560,1.44
2662740,72756577,1.44
2662740,72756584,1.44
2662740,72756591,1.44
2668206,72756522,1.44
2668206,72756539,1.44
2668206,72756546,1.44
2668206,72756553,1.44
2668206,72756560,1.44
2668206,72756577,1.44
2668206,72756584,1.44
2668206,72756591,1.44
2671814,72756522,1.44
2671814,72756539,1.44
2671814,72756546,1.44
2671814,72756553,1.44
2671814,72756560,1.44
2671814,72756577,1.44
2671814,72756584,1.44
2671814,72756591,1.44
2671817,72756522,1.44
2671817,72756539,1.44
2671817,72756546,1.44
2671817,72756553,1.44
2671817,72756560,1.44
2671817,72756577,1.44
2671817,72756584,1.44
2671817,72756591,1.44
2678006,72756522,1.44
2678006,72756539,1.44
2678006,72756546,1.44
2678006,72756553,1.44
2678006,72756560,1.44
2678006,72756577,1.44
2678006,72756584,1.44
2678006,72756591,1.44
2612219,72934081,1.44
2612219,72934081,1.44
2612219,72934081,1.44
2612219,72934098,1.44
2612219,72934098,1.44
2612219,72934098,1.44
2612219,72934104,1.44
2612219,72934104,1.44
2612219,72934104,1.44
2612219,72934111,1.44
2612219,72934111,1.44
2612219,72934111,1.44
2612219,72934128,1.44
2612219,72934128,1.44
2612219,72934128,1.44
