PO Number,CASE PACK ID, FOB 
2667211,68718329*2     ,5.35
2667212,68718206*2     ,5.35
2667212,68718213*2     ,5.35
2667212,68718220*2     ,5.35
2667212,68718237*2     ,5.35
2667212,68718244*2     ,5.35
2667212,68718251*2     ,5.35
2667221,68718206*2     ,5.35
2667221,68718213*2     ,5.35
2667221,68718220*2     ,5.35
2667221,68718237*2     ,5.35
2667221,68718244*2     ,5.35
2667221,68718251*2     ,5.35
2667222,68718275*2     ,5.35
2667222,68718282*2     ,5.35
2667222,68718299*2     ,5.35
2667222,68718305*2     ,5.35
2667222,68718312*2     ,5.35
2667222,68718329*2     ,5.35
2667234,68718206*2     ,5.35
2667234,68718213*2     ,5.35
2667234,68718220*2     ,5.35
2667234,68718237*2     ,5.35
2667234,68718244*2     ,5.35
2667234,68718251*2     ,5.35
2667235,68718275*2     ,5.35
2667235,68718282*2     ,5.35
2667235,68718299*2     ,5.35
2667235,68718305*2     ,5.35
2667235,68718312*2     ,5.35
2667235,68718329*2     ,5.35
2667205,68719128*2     ,4.62
2667205,68719135*2     ,4.62
2667205,68719142*2     ,4.62
2667205,68719159*2     ,4.62
2667205,68719166*2     ,4.62
2667205,68719173*2     ,4.62
2667205,68719180*2     ,4.62
2667206,68719050*2     ,4.62
2667206,68719067*2     ,4.62
2667206,68719074*2     ,4.62
2667206,68719081*2     ,4.62
2667206,68719098*2     ,4.62
2667206,68719104*2     ,4.62
2667220,68719128*2     ,4.62
2667220,68719135*2     ,4.62
2667220,68719142*2     ,4.62
2667220,68719159*2     ,4.62
2667220,68719166*2     ,4.62
2667220,68719173*2     ,4.62
2667220,68719180*2     ,4.62
2667232,68719128*2     ,4.62
2667232,68719135*2     ,4.62
2667232,68719142*2     ,4.62
2667232,68719159*2     ,4.62
2667232,68719166*2     ,4.62
2667232,68719173*2     ,4.62
2667232,68719180*2     ,4.62
2667233,68719050*2     ,4.62
2667233,68719067*2     ,4.62
2667233,68719074*2     ,4.62
2667233,68719081*2     ,4.62
2667233,68719098*2     ,4.62
2667233,68719104*2     ,4.62
2667238,68719128*2     ,4.62
2667238,68719135*2     ,4.62
2667238,68719142*2     ,4.62
2667238,68719159*2     ,4.62
2667238,68719166*2     ,4.62
2667238,68719173*2     ,4.62
2667238,68719180*2     ,4.62
2667203,69251320*2     ,2.7
2667203,69251337*2     ,2.7
2667203,69251344*2     ,2.7
2667203,69251351*2     ,2.7
2667203,69251368*2     ,2.7
2667203,69251375*2     ,2.7
2667203,69251382*2     ,2.7
2667204,69251191*2     ,2.7
2667204,69251207*2     ,2.7
2667204,69251214*2     ,2.7
2667204,69251221*2     ,2.7
2667204,69251238*2     ,2.7
2667204,69251245*2     ,2.7
2667210,69251191*2     ,2.7
2667210,69251207*2     ,2.7
2667210,69251214*2     ,2.7
2667210,69251221*2     ,2.7
2667210,69251238*2     ,2.7
2667210,69251245*2     ,2.7
2667213,69251320*2     ,2.7
2667213,69251337*2     ,2.7
2667213,69251344*2     ,2.7
2667213,69251351*2     ,2.7
2667213,69251368*2     ,2.7
2667213,69251375*2     ,2.7
2667213,69251382*2     ,2.7
2667214,69251191*2     ,2.7
2667214,69251207*2     ,2.7
2667214,69251214*2     ,2.7
2667214,69251221*2     ,2.7
2667214,69251238*2     ,2.7
2667214,69251245*2     ,2.7
2667215,69251269*2     ,2.7
2667215,69251276*2     ,2.7
2667215,69251283*2     ,2.7
2667215,69251290*2     ,2.7
2667215,69251306*2     ,2.7
2667215,69251313*2     ,2.7
2667218,69251269*2     ,2.7
2667218,69251276*2     ,2.7
2667218,69251283*2     ,2.7
2667218,69251290*2     ,2.7
2667218,69251306*2     ,2.7
2667218,69251313*2     ,2.7
2667219,69251191*2     ,2.7
2667219,69251207*2     ,2.7
2667219,69251214*2     ,2.7
2667219,69251221*2     ,2.7
2667219,69251238*2     ,2.7
2667219,69251245*2     ,2.7
2667225,69251320*2     ,2.7
2667225,69251337*2     ,2.7
2667225,69251344*2     ,2.7
2667225,69251351*2     ,2.7
2667225,69251368*2     ,2.7
2667225,69251375*2     ,2.7
2667225,69251382*2     ,2.7
2667230,69251191*2     ,2.7
2667230,69251207*2     ,2.7
2667230,69251214*2     ,2.7
2667230,69251221*2     ,2.7
2667230,69251238*2     ,2.7
2667230,69251245*2     ,2.7
2667231,69251269*2     ,2.7
2667231,69251276*2     ,2.7
2667231,69251283*2     ,2.7
2667231,69251290*2     ,2.7
2667231,69251306*2     ,2.7
2667231,69251313*2     ,2.7
2667236,69251320*2     ,2.7
2667236,69251337*2     ,2.7
2667236,69251344*2     ,2.7
2667236,69251351*2     ,2.7
2667236,69251368*2     ,2.7
2667236,69251375*2     ,2.7
2667236,69251382*2     ,2.7
2667240,69251191*2     ,2.7
2667240,69251207*2     ,2.7
2667240,69251214*2     ,2.7
2667240,69251221*2     ,2.7
2667240,69251238*2     ,2.7
2667240,69251245*2     ,2.7
2667208,68720155*2     ,3.4
2667208,68720162*2     ,3.4
2667208,68720179*2     ,3.4
2667208,68720186*2     ,3.4
2667208,68720193*2     ,3.4
2667208,68720209*2     ,3.4
2667209,68720223*2     ,3.4
2667209,68720230*2     ,3.4
2667209,68720247*2     ,3.4
2667209,68720254*2     ,3.4
2667209,68720261*2     ,3.4
2667209,68720278*2     ,3.4
2667216,68720155*2     ,3.4
2667216,68720162*2     ,3.4
2667216,68720179*2     ,3.4
2667216,68720186*2     ,3.4
2667216,68720193*2     ,3.4
2667216,68720209*2     ,3.4
2667217,68720223*2     ,3.4
2667217,68720230*2     ,3.4
2667217,68720247*2     ,3.4
2667217,68720254*2     ,3.4
2667217,68720261*2     ,3.4
2667217,68720278*2     ,3.4
2667228,68720223*2     ,3.4
2667228,68720230*2     ,3.4
2667228,68720247*2     ,3.4
2667228,68720254*2     ,3.4
2667228,68720261*2     ,3.4
2667228,68720278*2     ,3.4
2667229,68720155*2     ,3.4
2667229,68720162*2     ,3.4
2667229,68720179*2     ,3.4
2667229,68720186*2     ,3.4
2667229,68720193*2     ,3.4
2667229,68720209*2     ,3.4
2667239,68720155*2     ,3.4
2667239,68720162*2     ,3.4
2667239,68720179*2     ,3.4
